Comment,Predicted Class
Hi Brad i am from Pakistan 🇵🇰. I really like your videos and your are inspiration to me. I learned a lot from you.,Positive
"Thanks Brad, as you mentioned, what should be done get a profit of this project after I deploy it? May be this can be a good topic for your next video.",Interrogative
"Interesting, I didn't know that creating a QRCode was that simple in JS",Positive
is there a reason you don't use a FormData object for form handling inside your submit event listener?,Interrogative
I am looking to redo the URL shorter to add a QRCode generator so when you shorten a URL is till generate a QR for the short URL.,Neutral
"If anybody wants to be able to input a website without http://, change the input type=""text"" in the html, and add a simple conditional statement to the setTimeout.",Neutral
Can u please make a video about Progressive web apps ? thanks in advance,Interrogative
console.log from inside a Py script took my breath away. Obviously the the ability to use Py packages in the browser is great but the bi-directional link between Py and JS to me is the most fascinating thing about this innovation.,Neutral
"That's wicked, thanks for the small review video",Positive
Finally a video that clarifies pyscript. I think it's just the beginning but it could be bigger later on.,Positive
Wow that was incredible! 🤯 The ability to use Python packages in the browser!!! That's huge 💯 Thanks for putting this video together Brad 👍🏻,Positive
"Can't wait to see a full course from you, when Pyscript is ready.",Positive
"Hi there team Traversy, I've been following your channel and find it very Educational,and honestly tutorials are really helpful-and the tutor too.",Positive
Just waited for your explanation as usual. It helped to learned a lot from this single video than prevous 2-3 days. Thanks man.,Positive
Thanks for this Brad...How exciting! Plenty to explore.,Positive
"Simple project: You can have an Arduino/ESP32/Raspberry Pi, Python in the middle and PyScript on the Front-end and create really nice Dashboard, for instance.",Neutral
Thanks for this Brad...How exciting! Plenty to explore.,Positive
Great and concise as always!,Positive
Thank you for sharing knowledge with the community.You earned +1 subscriber❤❤,Positive
"I see this as a huge oportunity to run ai in the browser, like tensor flow, keras. Really looking forward to check this one out",Positive
Just today decided to switch over for a bit to Python for various reasons...then I come across this video. How perfect a timing!,Positive
"Brad, this is great ! I'm going to have some fun with this. Great video. You are the best !",Positive
"very nice. as a web dev and a slytherin, i really love the idea of adding Python to my applications.",Positive
"I think you can still use to parse/manipulate the dom tree, using Beatufulsoup",Corrective
Thats cool I bet you can make python and JS interoperate using the dom as a messaging service,Positive
Question. Is pyscript able to import any module if as long as i put it in a seperate .py file?,Interrogative
I could see a use for this in basic authentication for new backend developers,Neutral
As a Python developer... this is wild!,Positive
Thank you as always Brad!,Positive
"Can you train a model, pickle it and distribute the pickle through the web this way?",Interrogative
Finally good video about Pyscript! Thanks,Positive
I'm no expert in python but can I used Pip packages ?,Interrogative
"This is great, thanks for posting this video!",Positive
would love to call python libraries like this on backend node server too,Positive
This vid is good and very educational for me! thanks.,Positive
Thanks you sir for good work. It will be a privilege to meet you one on one,Positive
20:35 really hit the frontend developers's thought!,Positive
I just <3 your tutorials X),Positive
Hello Mr.brad I have a question  how i can use the pyscript tag locally?,Interrogative
"I hated Python just because of the indentation sensitivity and not having code block marks,  Compression, mangling ..etc",Negative
Could you do a video on using pyscript with react?,Interrogative
The new intro is so modern and fire!!!,Positive
Very interesting video Brad!,Positive
"Could you please tell me, why does python take too much time to load html page and why it is not faster than javascript?",Interrogative
A bit confusing that the python print function doesn't output on console imo,Negative
"I wonder if you could then package it using electron, as an alternative to tkinter and all that faff for simple GUI apps.",Neutral
You can't replace JS as a web language just like you can't replace Python as ML/AI language. I believe both the languages have proved their longetivity.,Positive
Gota love Web Assembly - Thanks Brad!,Positive
he project is good but it will take time for it to be as fast and reliant as javascript,Neutral
"There was some problem with numpy - ModuleNotFoundError: No module named ""numpy"" even when the module was actually installed.",Negative
Long way from this being actually useful but still a great step,Positive
Htmx is also so cool and revolutionary.,Positive
"Me: Starts learning HTML, CSS, and JavaScript so I can make websites Traversy: Hold my PyScript",Neutral
"basically, a Blazor alternative that was created a long time ago.",Neutral
Cant wait to see browsers getting slower :D,Negative
Great intro! This is a big step forward imho,Positive
Damn Awesome Content 🔥,Positive
"You have no idea how much I appreciate you. Great content, energy and just overall teaching.",Positive
Loved!!!,Positive
I think about if you can set the fill- and stroke-color within beginShape() and endShape() for each vertex as it is possible in Processing Java.,Neutral
I am studying Computer Science at the University of Reading. I think I have seen Ed around campus once or twice.,Neutral
Only things I can think of to make it even better is to actually lerp between points to get the spiral more spiral instead of dodecagonal,Neutral
Nice excercise in Datavisualization and entrance to think in our world we are living on many areas. Keep your great work up!,Positive
"Wouldn't it be easier to add a sleep function, instead of being forced to use the framerate of the draw loop?",Interrogative
"(it's harder in js compared to other languages, but it's pretty simple to make it using Promisses",Neutral
Wow! This video is truly captivating!,Positive
this video makes me want to collect my own data,Positive
could measure the shadowed area outside my house and sun area in morning and find average.,Corrective
"I think easier would have been a simple counter going up to rows * months and then row (or year) = count div 12, month = count mod 12.",Corrective
Imagine how much cooler the earth would be if we just moved the baseline up a couple degrees.,Neutral
I'm 90% convinced that you can code literally anything you want at this point,Positive
"Thank you for everything Daniel, you have such a wonderful soul.",Positive
I just started learning coding. After finding your content it is like a breath of fresh air!,Positive
"I never did javascript. I code java for a living, but js and p5 was new to me :) But this looked soo fun, that i wanted to try it.",Positive
So good to see you back and with another interesting challenge.,Positive
"my guy. solid course brother! thank you for putting this together. so far the only course (including those i've paid for) that is so straight forward, and engaging.",Positive
Would you be able to do a video with collision detection between 2 shapes consisting of a set of points and springs?,Interrogative
"do a react native tutorial yourself, I seriously enjoy your educative and inspirational content",Positive
This course is absolutely amazing! Thank you so much for sharing your knowledge with us! I can't wait to start coding with Python!,Positive
that is truly beautiful. Any idea on where to read up on how that was done?,Interrogative
Soft body physics... my doctor has been wanting me to work on this!😉,Neutral
The way you explain loops. Well done sir. You are a gentleman and a scholar.,Positive
This train sure has come a long way since departure.,Positive
wow. you are simply a magician. I've been dreaming about this for years!!!!,Positive
Not only do you explain the concepts well but also the amazing graphics you use makes this learning engaging. Job well done!!,Positive
Are you going to do rigid body physics next?,Interrogative
"Qazi, you are changing lives, we actually love you and hope you have an amazing life! One of the best programming youtubers ever, cant lie.. Appreciate it massively and mad love dude",Positive
"do a react native tutorial yourself, I seriously enjoy your educative and inspirational content",Positive
This course is so detailed. I'm just enjoying it,Positive
"Just when the world needed him most, he returned",Positive
I gotta say these new whiteboard animations you have going on are really impressive,Positive
"I believe that if you used `angleMode(DEGREES);` in your setup, you could specify the angles with -180 to 180 and thereby removing the dependency on PI!",Corrective
"Next year, I want to see Matt Parker drop a thousand toothpicks and just see him spend the entire video picking them up to calculate pi!!",Neutral
"I've heard of falling angels, but falling angles are new to me :)",Neutral
"To get a uniform angle in (0,2pi) you could generate uniform x,y in (0,1) until x^2+y^2<1 and then use atan(x/y) as your angle.",Corrective
"Since you're intersecting a vertical line, you could draw the line using x0,y0-x1,y1. Then you simply divide x0 and x1 by t. If they're different, they intersect.",Corrective
Will you do shader programming again?,Interrogative
It is always a pleasure and inspiration watch your videos !,Positive
wohoo!! this 25 min is gonna be fantastic! your're amazing. i have learned a lot from you.,Positive
"Could you change the angle to degrees, select randomly from 360, then it should still shake out to approximate pi without ever writing it in the code?",Interrogative
"you can’t use trigonometry functions, instead you should pick a random gradient. So a gradient of 0 would be horizontal and 1 would be vertical.",Corrective
"you could replace 2pi with high number, that would't be precise but random enough to work as well",Corrective
I really would like to have you back for the coding challenges with p5js.,Positive
GENUINELY THANK YOU FOR UPLOADING ️,Positive
"Man, I missed you a lot! thanks for comming in this amazing Pi day",Positive
"there it is, near the center of the canvas: PI! Challenge completed!",Positive
"No, it's not the top half of an ellipse. it's a section of a sine wave, specifically the graph of y=(1/2)*sine(x) which people can drop into the online Desmos graphing calculator and visualize.",Corrective
"I can only grasp half of this, but I'm enjoying myself anyway. What enthusiasm!",Positive
Watching these toothpicks appear on the board reminds me of when I trim my beard into the sink XD I'm wanting to blow the screen every so often.,Neutral
Happy PI day to all!,Neutral
"TWO_PI has a name, it’s actually called TAU (τ).",Corrective
I object using Pi while trying to determine it. This should be solved graphically: You know the position of the vertical lines thus no need to use Pi.,Corrective
Do you have any plans to maybe cover some other programming languages in the future?,Interrogative
You could have used degrees for the angles so its 0-180 instead of 0-pi,Corrective
"it is an image, but there is no greenscreen... and the image is between him and board which he interacts with",Neutral
I would find it interesting how someone in the real world would make sure that the toothpicks fall evenly distributed.,Neutral
"Did you use p5js to create the animated illustrations, too?",Interrogative
I am so here for that art direction on the background !,Positive
Use random 360 so you don’t use two-pi,Corrective
"Can you talk more about access modifiers? Like - public, private, protected.",Interrogative
"This show is so cool. I like especially the retro-looking artifacts, studio, and happy atmosphere!",Positive
I am only a mechanical engineer and not a programmer,Neutral
The result looks fantastic! What an awesome coding challenge this was :),Positive
I've been trying to figure out how people actually render those super hi res 3D fractals and really not understanding,Neutral
you could use this same logic pretty easily with a plane geometry and a fragment shader in webGL or openGL,Corrective
What do you think of java? Is it worth learning? or is it fully superseded by languages like javascript and python?,Interrogative
I would love to see this triangulated (possibly in an stl file format) and make it 3d-printable,Positive
This is my favourite channel on youtube. Your enthusiasm is contagious,Positive
The Processing book I read was by Shiffman and half the examples on Processing and p5js site are Shiffman,Neutral
Is it possible to you to do a video about coding electric circuit simulation like redstone circuit in minecraft?,Interrogative
This guy is like the Bob Ross of coding. His enthusiasm it's contagious!,Positive
"This was such a fun video! Your enthusiasm for programming is so enthralling, it really comes through.",Positive
Less than 2 minutes in and you've already put a smile on my face.,Positive
"Isn't ""20 GOTO 10"" everyone's favourite program line?",Interrogative
"Character 13 is carriage return - or, simply said, the ""Enter"" key you have pressed when executing the program.",Neutral
This is the type of guy that will magically turn any conversation or argument into code talk and somehow hook you in,Positive
This was the first program I ever wrote. I was so excited then I bumped it up to 4k colors and high resolution - that's when I realized a one megahertz processor has it limits.,Negative
Man the camera angles reminds me of those old creative TV shows really love 'em. Please keep on coming,Positive
Basic was the first programming language I learned with my first computer way back in 1985.,Neutral
"Most interesting is, that this type of coding is for me more fun than tons of frameworks and libraries",Positive
"I'm so used to all the modern conveniences, but now that I think about it, as a kid I did see some of this stuff, and it just completely slipped my mind that coding used to be like this.",Neutral
"Well done, man. You brought back so many memories from programming class in high school. Circa 1983. Thank you!",Positive
I went to a magnet school in the 6th and 7th grade where we learn this same programming and each student had to write code for a mini-game.,Neutral
Do you remember using overflows to make self modifying code?,Interrogative
"I did a lot of stuff in BASIC on a VIC20 and some other machines. PEEK and POKE, do I ever remember those :D",Neutral
I was wondering if there is a way to introduce a time variable? To kind of increase the number of bodies in the simulation over time?,Interrogative
"I love this channel this is just what I was looking for, extreme thank you for your awesome energy and good will.",Positive
"The type of content I am always craving for, amazing!!! You are great Shiffman :)",Positive
I will be curious to see a try with this different integration methods.,Neutral
"Thanks for the ""zoom in"" when you make a code change! That helps a lot to follow along with trying to type along and see what's being changed!",Positive
Can we talk about the production value of this video?,Interrogative
my first implementation was in asm on a 6502 chip.,Neutral
It would be really cool if you modeled the solar system with their respective masses and starting distance. Speed forward and see how long until we hit the sun,Corrective
"Regarding your attraction code, i was wondering about the impact of directly applying the force while iterating through the circles. It is kind of... unbalanced?",Interrogative
Reminds me of the old screen savers from the 90's,Neutral
"An easier way of simulating n-body, and in fact any force attraction/repulsion scheme (and much more) is to use D3.js, a powerful data-driven document creator javascript package..",Corrective
can you put relativity too in your simulation? like introduce Lorentz factor so that your mass is proportional to your velocity?,Interrogative
Could I understand it in detail?,Interrogative
"If you build a potential field at an even 3D grid, wonders of wonders will help to solve any N-body problem in a computationally feasible way. I call it ""positionomomentum identity belongment"" field.",Corrective
Could you try to make a 3D Gift wrapping algorithm??,Interrogative
"Absolutely incredible. Thanks for the laugh, and thanks for all your contributions to creative coding over the years.",Positive
It was the best procrastination session I ever had.,Positive
"""I don't want to see any overlap.. oh but I also don't want to see any background peeking through!""",Negative
do you have an episode about table flattening (serialization )?,Interrogative
"i was somehow thinking to myself, how in hell is he gonna have a particle system by tonight.",Neutral
"""How to clean the white board....""",Interrogative
I act this way every time i get high af no matter what i do.,Neutral
Were you an actor?,Interrogative
Pitch Perfect. Love it!,Positive
could you link the course to this video?,Interrogative
"I have heard him mention some videos in which he uses flask to make his Python code talk to P5js, resulting in some cool ML visualizations.",Neutral
Can you help me please with something?,Interrogative
Halu sir.,Neutral
"Haven't been on this channel for a while now. I love the latest editing style, super efficient for learning.",Positive
Can you implement a path drawing system using the mouse which allows for curvature and path overlap?,Interrogative
Awesome. Your an effective teacher.,Positive
I wonder how this compares to something like a PID controller.,Neutral
Can you go on Conding in Flow's podcast?,Interrogative
Can you please make a video about saving and loading in local storage??,Interrogative
"That this. animation is everything, love it",Positive
But the vehicle cannot turn on the spot because that's speed is now in other direction.,Corrective
"quick check: you bounce around the path like a photon in fiber optic, if just ""dont care""",Neutral
Hey! when is the series returning?,Interrogative
mantap,Neutral
i guess this is the last lesson you did in this serie of steering behaviors is'nt it ?,Interrogative
Amazing,Positive
"Hi, coding train pls how do you create your videos?",Interrogative
I'm a long time subscriber of this channel,Neutral
I just regret so much that I dont like Javascript. I so wish you could teach these things using python....,Imperative
Is this the Pure Pursuit algorithm?,Interrogative
octopus game,Neutral
"Just want to say the production is on another level now! I've been a fan for a while, and love your clear explanations!",Positive
Absolutely one of your best videos yet! Keep up the great work!,Positive
"Daniel, I love the work you're doing. Thanks for teaching!",Positive
"love your videos! its practical, unique, challenging, and informative =)",Positive
Is this the first video with this new type of editing?,Interrogative
Oh man... you and your pineapple shirt...,Neutral
"I hope it might help but to avoid the js rounding I wrote (in Processing) for(float t=0; t < 1+delta; t+=delta), I'm not sure it's the best solution but I think it might be more adaptable when delta changes.",Corrective
The optimization you'd want to go to is go for the algebraic expansion of all the nested linear interpolations,Corrective
"I don't know JS, but I wonder if it possible to set it up with recursion so you could choose how many anchor points you have??",Interrogative
This might just be the best programing channel on the entire internet,Positive
"As someone used to Inkscape, these feel really natural",Neutral
I also wanted to say that the coloured boxes that you draw around snippets of text really help to understand what you trying to point out.,Positive
Another mind-blowing video. Congrats!,Positive
Can Bezier curves be used to approximate the solutions of differential equations?,Interrogative
"Could you check say the surrounding 9 spots to see whether they have been visited, and prefer to head in the direction of the most visited spots?",Interrogative
So much education and you haven't missed a step!,Positive
This is excellent. The whole channel is. Many thanks!,Positive
You can try to use vertex cover on a graph (nodes in a grid) to find an approximation of the solution.,Corrective
I really enjoy your channel I’m glad you’re there for beginners like me,Positive
you need to backtrack until the spot nearest to the beginning of the path instead of the last one available. This improves the speed on smalled graphs.,Corrective
"I love the new edit style, a nice way to avoid viewer frustration with the this. Haha! love all your videos!",Positive
Have you considered doing one that makes a farm sim or rpg?,Interrogative
"For cloning the array, the option to do newArray = [...array]; creates a new array by the square brackets and then file with ...(or explode array values) into that new array.",Corrective
"Love to see the applications of graphs, dfs and hamiltonian paths",Neutral
Happy to see your videos again :),Positive
I just realized that every line in the cosmos could be a 1D random walker,Neutral
"So the easiest way to generate a random self avoiding walk is by creating just a simple walk and apply the ""backbite"" move a couple times. You should look into that!",Corrective
it is always fun to learn from you.,Positive
"It looks like although its keeping track of whether a next move has been visited, I think it is still randomly creating paths of n length more than once.",Neutral
I dont think thats 64 factorial. its is like 4^64 because from every point you can choose (up to) 4 directions to go. but it is still pretty large.,Corrective
Your video quality is really top tier here damn:D all this editing really surprised me because ive been watching some older videos,Positive
Good Job Dan! Very entertaining.,Positive
Isn't this trying to find a hamiltonian path through the graph?,Interrogative
"I really love your videos and your a great inspiration for me to start p5 , and I never got bored seeing your video, pls don't ever stop doing this videos",Positive
"My favorite class up to now, thanks a lot!",Positive
"I wonder if there is a way to create a 3d surface defined by some function f(x,y) using p5.js :)",Neutral
whats the difference between using function vs void?,Interrogative
I think we need a better explanation on where the symbol { goes and why.,Corrective
I will never understand the mechanisms impenetrable to the mind by which you number your videos :'(,Negative
I had one problem: mousePresses did not work... What can go wrong?,Interrogative
I know you are busy but you can remake processing tutorials.,Interrogative
Which app or website are you using to run this code?,Interrogative
Please make video on c++,Neutral
My comp is so laggy id rather throw it out of the window then love it,Neutral
Sir teach in hindi,Neutral
You have uploaded this video now but there are almost 9 comment for before 7 month or 8 month ?  How is it possible ???,Interrogative
"Really fun and fascinating presentation! (And amazing job on the editing, I especially love the little effect when you walk through the windows).",Positive
"Never change, Dan. You are a gem and a wonderful speaker.",Positive
"It feels like charming, lighting, harmony and outstanding presentation. I love it!",Positive
"Any way to merge 3 to 4 audio files with timestamps using processing 3 (JAVA), please make a video on this",Imperative
can you make python videos regarding ML?,Interrogative
"Code train , is it possible to make a ai that code with JavaScript to make another ai ?",Interrogative
good one!,Positive
is there really a computer mouse conference ?,Interrogative
This video is so cooool!,Positive
I also do videos about programming!,Neutral
Loveeee the edittt,Positive
That intro was crazzyyy,Positive
Sir Please make something about deepfake!!,Imperative
whats the song in the intro?,Interrogative
How is the green screen set up here?,Interrogative
Misrepresented identities? So Math IS racist or what?,Interrogative
Just gonna say your an awesome youtuber and teacher. Keep it up,Positive
This is the best YouTube channel ever. Thank you so much for making this. The way you explain stuff is incredible and it helps me so much! Choo Choo!,Positive
Can we extract keywords from a random gif?,Interrogative
"You should be immortal, keep making tutorials like this ️",Positive
Just when I was thinking of making a discord bot you come along. You are such a savior!,Positive
How do we minimize resource usage when hosting a discord bot?,Interrogative
Does anyone know how to hard code the bot so that Its just able to play music requests in a vc and build a playlist?,Interrogative
Why discord is so complicated?,Interrogative
Great video!! thanks!!!,Positive
how do you change the status on your bot when its online? also how do you get it online?,Interrogative
"I would like to see you make a series one day by creating a convolution neural network with p5.js and pure javascript, and showing how all the logic and mathematics work behind",Neutral
Thank you so much for such an amazing video. This has helped me a lot with my studies. Keep bringing these types of videos,Positive
"Please do more on posenet, especially if the models have improved from last time.",Imperative
I was wondering if you’d ever go into more detail or projects in terms of physics?,Interrogative
Quality video as usual. Keep up the good work man,Positive
Have you considered showing mobile versions of these?,Interrogative
Big fan from India. He is the only best teacher all over the world.,Positive
How do we train our customized cocossd with ml5 then?,Interrogative
"Hey Slobodan, thank you for sharing this amazing tutorial content.",Positive
we need the 2nd/3rd/4th and beyond parts for this project.,Neutral
"ou don't need to create an array with all the letters in, that will be painfully slow for longer sentences. You can just do ""your string"".split("""") and it will create the array of characters for you",Corrective
Took me around 4 days to actually finish it since I kept getting curious and looking for info about the libraries and experimenting with the site.,Neutral
"one of the best portfolio website I have seen, want to make one like this.",Positive
it is so damn fast. having to pause every 5 seconds or so.,Negative
"You need to have some background on css and scss, but it gives a good overview on how it's done.",Corrective
Just a heads up that if you want to deploy this with the GreenSock animations you need to buy a membership.,Corrective
"You are really amazing, explain detail and smooth animation.",Positive
"To fix the rotating cube bug where two of the sides disappear after the first rotation, you need to adjust your keyframes.",Corrective
"Thanks Slobodan for this content, I'll be waiting for the next sequel of this part.",Positive
"Very helpful, and surprisingly therapeutic",Positive
I want to make a portfolio page with the same cube but add links on eaech side of the cube that leads to each project. Any ideas on how to execute this?,Interrogative
Can you make same website using UI libraries?,Interrogative
"A small request, did you create those svgs someplace online?",Interrogative
Can someone tell me the difference between NPX and NPM. I know NPX is a sandbox environment but like does that mean the files are temporary?,Interrogative
While you do the second bit could you also show how to make the website responsive?,Interrogative
How do I make the website responsive tho?,Interrogative
Thanks a lot :) . Please make part 2 as soon as possible .,Positive
"Well, I am doing my portfolio in React at the moment, I was really thankful for learning about emailJS. Thanks a lot",Positive
Is there a way to get a similar logo for the letter A?,Interrogative
"Yes We need Second Part Please , Awesome Video make it responsive for mobile also Please @Sloba",Positive
Can you tell me how you made you S logo and name picture?,Interrogative
"I have seen a lot of comments discussing a persistent issue with emailjs SendForm not working. For me, the solution was changing the 'gmail' parameter in sendForm() to 'default_service'.",Corrective
what library did you use to make the animation of the skills?,Interrogative
One of the best HTML tutorials ever. Really like the emphasis on not using divs unnecessarily .,Positive
"This is an awesome course! I can highly recommend it, and Dave is a really good teacher.",Positive
what is the best compiler for the C ++ language that I can download on my phone so that I can see the execution time of the program?,Interrogative
Where can we find pretrained models for this?,Interrogative
please make courses on FMRI data preprocessing and analysis in python,Imperative
"hi, can i use this approach for detecting changes over a period of time of same places in satellite imagery.?",Interrogative
Sir as a radiographer is this course important for me?,Interrogative
"What is the purpose of going from 128 slices to 64 and then storing them in the ""dicom_group"" folder?",Interrogative
"Hi, is there an MacOS alternative to CUDA that will work for this project? Metal Performance?",Interrogative
"Using this tutorial, when breakout was done i was able to make my own flappy bird. So it is not just following along, it is super helpful. TY Ania",Positive
"For the breakout game, I found it was much simpler to make a changeDirectionX and changeDirectionY function for each.",Corrective
"Day 2 of following this course. I have made 2 games in 2 days, I have never been this productive!!",Positive
"having problem with the memory game when clicking on the same image twice makes you ""match"", just change the if(cardsChosen[0] == cardsChosen[1]) to a 'else if' instead of an 'if'",Corrective
The explanation is so clear and precise. Thank you freeCodeCamp and Ania for the providing this course.,Positive
"for those who's struggling with the Whac-a-mole, there should be a comma between 'mousedown' and the ( ) on line 21",Corrective
"Had to know javascript among other things for my web technology project in my studies. This course has supported me incredibly well, thank you!",Positive
Question: how can I display a different color and / or italics after the results get displayed?,Interrogative
"it's better to make two separate methods to check for vertical and horizontal collision, then pass it as an argument to ""changeDirection"" method. ",Corrective
"In change direction method, there's no need to do all the ifs. You can just use xDirection = -xDirection",Corrective
It would be nice if you gave more of a explanation for whats happening with the code.,Corrective
"Thank you Ania ,your explanation is very clear.",Positive
i just finished the video and thanks a lot for your effort this really helped me a lot,Positive
"Just finished continuous delivery pipeline chapter, and I must say, this is a must watch video for every developer out there!",Positive
"You have managed to explain concepts that difficult to comprehend in such simple manner. Great content, great delivery!",Positive
"There is also a option in gitlab-ci - only: where you can specify for which branch x-job to run, or you can add multiple branches.",Corrective
This video is amazing. Such a great walk through and explanation covering A to Z,Positive
 What if I have more than 1 server in prod and I want simultaneous deployment?,Interrogative
where we are building the docker image why are we double tagging the build?,Interrogative
"The tutorial is excellent and covered most of the basic tools that are used mainly to create any complex drawing, well done",Positive
"That is one gorgeous cheat sheet. Thanks for everything you're doing for the global developer community, Frank. This course is gold.",Positive
Your teaching style is amazing and your ability to explain things is fascinating. Thank you so much.,Positive
"I just want to know how did you add the bracket symbols and the single quote symbols to both sides of the selected string, like in 2:53:04?",Interrogative
What is the essence of dictionaries and how relevant is it with data science. Im trying to relate its use.,Interrogative
Would be tough to replicate these features (say highlighting duplicate values) in Python. Or no?,Interrogative
"very clear and simple explanations , thank you!",Positive
Wonderful tuto. Very well explained,Positive
Can you do a tutorial for using Redux arhitecture in Fluttter or can you tell me some resources to learn this arhitecture?,Interrogative
"I didn't understand the use of the lambda function in the ordering section (3:09:40), as you are trying to lower() the values but none of those are becoming lower.",Negative
"Thank you for share this! I recommend this video for everyone wants to learn some basics of python, numpy and pandas is awesome.",Positive
Great introduction for everyday use!,Positive
"Man, he goes in depth and beyond sveltekit and web dev with such clarity and thoroughness. The community is lucky to have an advocate like Tan.",Positive
Awesome work! Really enjoying it. I have adhd but still i am able to focus on the tutorial due to practical implementation and way of teaching,Positive
What is s state variable? Is it just a variable with global scope?,Interrogative
What framework(django/ node whatever) should I use as a backend with svelte.,Interrogative
This might be my first longer than 30 min YouTube video which didn't bore me! I absolutely enjoyed tweaking my VS Code te way I would prefer.,Positive
"This is an older video, but at 1:12:00 the key binding is also assigned to toggling the side bar. Maybe this might be keeping it from working.",Corrective
Can you make a tutorial on Android Studio or IntelliJ IDEA?,Interrogative
As always very helpful video from you guys,Positive
Can't wait to see sublime text version as well.,Positive
Great course!,Positive
Very good course but most of us are in windows not mac you could have targeted more audience if used windows some of the things are not clear still,Corrective
"Emoji sense is not necessary since you can get an emoji keyboard on Windows by pressing ""Windows key + period"" and Mac with ""Ctrl + Cmd + Space""",Corrective
This channel is a sacred temple for software developers.,Positive
His laravel course is great!!!!,Positive
For windows it is windows key + up arrow,Corrective
Huge respect and thank you,Positive
This was awesome :) thanks,Positive
"Dr. Chuck is great I love his content and his whole work ethic around sharing knwoledge. Awesome Dr, Chuck",Positive
"I just started the course. I already see the promise of a great content, thank you for this.",Positive
This guy teaches Django proficiently. Though most of his lectures are lengthy buy it's all worth it.,Positive
Can you make a classe of Qt?,Interrogative
"I was a c player 14 years ago, then c++ running on suse, not the .net one. Now I am mainly js/ts plus java on sprintboot.",Neutral
Is learning C better than learning Java nowadays?,Interrogative
is it possible to learn programming in 2 weeks for placements?,Interrogative
Is there a course on Assembly language by Dr. Chuck yet?,Interrogative
"Legendary book, incredible instructor",Positive
Where do we get the book? is it free?,Interrogative
"I have that book, I just started trying last night",Positive
Who needs audiobooks when you got the c programming audiobook,Positive
High value content! Thank you very much for making design knowledge accessible to everyone. It's really rare to find quality content for free,Positive
"I'm so happy you uploaded this, I played Socom and wanted to learn Unreal tournament",Positive
Is it possible for you guys to make a tutorial for make your own custom ROM and what are prerequisites to make one?,Interrogative
can you please make a tutorial in UE4 c++ which is play online video in my plane component?,Interrogative
We want more videos on Game Dev.,Imperative
how do i create a game like this? should go and learn c++ in order to get the picture of what youve created?,Interrogative
Why couldn't you teach us about arrays?,Interrogative
Nice tutorial - i have learned some things doing it :).,Positive
Would you make us a few video about android game development please?,Interrogative
Some one know thi minimal config than we have to get to follow this tuto ?,Interrogative
"tell me, please, about this->GetRootComponent()->ComponentVelocity = FVector(0, 25, 0);",Imperative
Want Full Gaming Tutorial please????,Interrogative
Wow Amazing,Positive
My computer died and then killed me while trying to load unreal engine,Negative
Do you need to know c++ before using this tutorial?,Interrogative
Differences to make it in UE5?,Interrogative
Awesome!!,Positive
Love from India,Positive
Tutorial is great but man he says the word ssd too many times which is annoying,Negative
Please make this game stoppable,Imperative
Not professional. Speak correctly,Corrective
nee nee nee need to :),Neutral
"It would be great if there would be a preview model at the beginning, so that everybody can see what we are building.",Corrective
I think mentioning prerequisites in all tutorials will be helpful.,Corrective
simple on to the point and well explained.,Positive
I wonder if this could also be made for a twitch bot?,Interrogative
Wow this is too amazing,Positive
"Damn, im so thankful i was recommended this, great way to start practicing MIL",Positive
you should've explained the code (the main training and dataset functions),Corrective
Is there a way with a bit of tweaking to change the workflow and not uploading the model to hugginface and run everything on my system?,Interrogative
Does this comply with the new more restrictive API changes,Interrogative
Can I push the model to somewhere other than hugging face? Is there a way I can just download it onto my computer or something?,Interrogative
How do I structure and make my own dataset?,Interrogative
Is there a way to get this bot to remember context from previous messages?,Interrogative
This is brilliant. Thank you especially for spending time on how to find and use datasets. Really useful. Subbed to your channel as well.,Positive
I couldn't find a transcript for Hanekawa Tsubasa. If someone knows where I could find it please help.,Neutral
"i'm having trouble with the bot. they've already been imported, but they say 'Error: unknown error'",Negative
This video is absolutely awesome !,Positive
"If I change the DialoGPT (to medium or large), what batch size should I choose?",Interrogative
"""Large"" is the largest DialoGPT type, right?",Interrogative
"None of the steps I did worked, and my AI was a complete stupid, but even so I'm glad I completed the tutorial and discovered a whole new world.",Positive
what happens with the csv that we created? I don't understand why we're not using the Pepa csv instead of the Harry Potter?,Interrogative
"So now that discord.py will no longer function, what will happen?",Interrogative
"instead of using a dataset from kaggle ,how to use the csv transcript file created originally by us into the model? or should we upload the csv file onto kaggle?",Interrogative
For some users 'My Drive' will be 'MyDrive',Neutral
Thanks. This is exactly what I need.,Positive
The person is using requests when they should be using AIOHTTP as it's async and d.py is an async library (requests is blocking),Negative
They are using replit which is not intended for bots and is generally bad.,Negative
My bot keeps going offline for some reason. Also how do I login to the account that has the bot on it?,Interrogative
"Everybody should found this most generous channel, I'm sharing this channel with my friends!",Positive
Finally I loved it I was searching for this,Positive
"like, i just finished your video about encouragement discord bot ... what a nice timing",Positive
the transcript wiki site has been discontinued. Is there any other website where i can get anime transcripts safely?,Interrogative
it didnt make an output-small folder and idk where the code is so i cant push it,Negative
"when i testing in my discord, he say ""Bearer token is invalid"" how to fix it?",Interrogative
Can you please explain the model ???,Interrogative
Now i can make my waifu chat with me in real time  .,Positive
how to use the custom data frame in the model code?,Interrogative
"i dont have google colaboratory, what should i do?",Interrogative
